url,title,date,country,id
https://menafn.com/1103850963/Fox-News-Pierre-Zakrzewski-killed-reported-wounded-in-Ukraine&source=138,"Fox New Pierre Zakrzewski killed , reported wounded in Ukra ... ",17/03/2022,Qatar,43b620e7-6475-08bb-e546-6bccb27984a3
https://www.arkansasonline.com/news/2022/mar/17/killing-raises-death-toll-to-8-for-journalists-in/,Killing raises death toll to 8 for journalists in Mexico,17/03/2022,United States,8696fd24-49d8-ec0b-e03a-3c8d28eec378
https://www.ctpost.com/news/article/Mexican-journalist-killed-6-weeks-after-17006919.php,Mexican journalist killed 6 weeks after colleague murder,17/03/2022,United States,e56fb0c5-a64e-0805-711f-cd5a33ac0908
https://www.newdelhitimes.com/spanish-newspaper-criticizes-china-for-pressuring-reporters/,Spanish Newspaper Criticizes China for Pressuring Reporters - New Delhi Times - India Only International Newspaper,17/03/2022,United States,ef8a31c6-e574-1c56-680b-e0a182c71c74
https://cpj.org/2021/09/togolese-journalists-spyware-surveillance/,  There is no private life : Three Togolese journalists react to being selected for spyware surveillance,16/03/2022,China,d1ba5791-7b0a-fefb-9a6b-eb7451f3c497
https://kxel.com/2022/03/15/anti-war-protester-who-crashed-russian-tv-broadcast-appears-in-moscow-court/,Anti - war protester who crashed Russian TV broadcast appears in Moscow court,16/03/2022,United States,8e0e3318-7f2b-4f44-5339-f4c34dd5a65d
https://www.cjr.org/analysis/afghanistan-journalists-taliban.php,What happened to Afghanistan journalists after the government collapsed,17/03/2022,United States,0ee85573-f175-abfe-2772-6a3692740677
https://www.businessinsider.com.au/investigative-reporter-concerned-safety-flees-russia-threats-made-elected-official-2022-3,An investigative reporter concerned for her safety flees Russia following threats made by the head of the Chechen Republic,15/03/2022,Australia,246eec19-00ba-2fb5-2d5e-16aef59b94fd
https://www.ucanews.com/news/china-accused-of-torturing-jailed-tibetan-monk/96481,China accused of torturing jailed Tibetan monk,14/03/2022,Philippines,7e12cbdc-90c7-80cd-5ee5-73b7edd36dec
https://mareeg.com/somali-journalists-blocked-from-covering-elections-sjs/,Somali journalists blocked from covering elections – SJS,11/03/2022,Somalia,eec35d6b-983d-76fb-ee8a-3cec0ad669ff
